Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
49.9997673,-55.9493789672852,0.0,0.0238636,2,50.0,0.0
49.9999161,-271.436553955078,0.0,0.0238603,2,50.0,0.0
50.0001411,-522.572387695313,0.0,0.0238568,2,50.0,0.0
50.0005989,-738.271606445313,0.0,0.023855,2,50.0,0.0
49.9995422,-989.868225097656,0.0,0.0238529,2,50.0,0.0
50.0001411,-1171.36462402344,0.0,0.0238517,2,50.0,0.0
50.0003014,-1449.48071289063,0.0,0.023851,2,50.0,0.0
49.993866,-1680.69995117188,0.0,0.0238503,2,49.99,-0.009999999999998
50.0002251,-1917.24182128906,0.0,0.0238507,2,50.0,0.009999999999998
50.0003014,-2075.14208984375,0.0,0.0238512,2,50.0,0.0
50.0009003,-2348.19018554688,0.0,0.0238526,2,50.0,0.0
49.9998436,-2550.26782226563,0.0,0.0238541,2,50.0,0.0
49.9998436,-2860.48583984375,0.0,0.023857,2,50.0,0.0
49.9999924,-3123.40380859375,0.0,0.0238597,2,50.0,0.0
49.9956818,-3423.16137695313,0.0,0.0238646,2,50.0,0.0
50.0005264,-3763.13842773438,0.0,0.0238693,2,50.0,0.0
50.000824,-4001.93530273438,0.0,0.0238752,2,50.0,0.0
50.000824,-4214.88232421875,0.0,0.0238782,2,50.0,0.0
50.0003738,-4465.45556640625,0.0,0.0238847,2,50.0,0.0
50.0010529,-4680.5322265625,0.0,0.0238911,2,50.0,0.0
50.0005264,-4991.87548828125,0.0,0.023898,2,50.0,0.0
50.0028687,-5207.69091796875,0.0,0.0239059,2,50.0,0.0
50.0009766,-5549.21875,0.0,0.0239142,2,50.0,0.0
50.0011253,-5788.0830078125,0.0,0.0239224,2,50.0,0.0
50.0005989,-6020.1875,0.0,0.0239315,2,50.0,0.0
50.0005264,-6246.14990234375,0.0,0.0239386,2,50.0,0.0
50.000824,-6494.6015625,0.0,0.0239496,2,50.0,0.0
50.0004501,-6804.24072265625,0.0,0.0239608,2,50.0,0.0
50.000824,-7008.14990234375,0.0,0.0239709,2,50.0,0.0
50.0005264,-7247.9033203125,0.0,0.0239813,2,50.0,0.0
50.0009766,-7452.10009765625,0.0,0.0239872,2,50.0,0.0
50.0010529,-7692.21044921875,0.0,0.0239997,2,50.0,0.0
50.0006752,-7932.29541015625,0.0,0.0240138,2,50.0,0.0
50.0009003,-8160.65625,0.0,0.0240255,2,50.0,0.0
50.0019073,-8448.8466796875,0.0,0.0240374,2,50.0,0.0
50.0020561,-8689.01171875,0.0,0.024053,2,50.0,0.0
50.0023651,-9025.3427734375,0.0,0.0240681,2,50.0,0.0
50.0016823,-9277.4833984375,0.0,0.0240848,2,50.0,0.0
50.0022888,-9499.7158203125,0.0,0.0240963,2,50.0,0.0
50.0027428,-9747.5400390625,0.0,0.0241123,2,50.0,0.0
50.0024414,-9975.8544921875,0.0,0.024125,2,50.0,0.0
50.0023651,-10263.0869140625,0.0,0.0241418,2,50.0,0.0
50.0031166,-10455.119140625,0.0,0.0241536,2,50.0,0.0
50.0024414,-10707.1865234375,0.0,0.0241678,2,50.0,0.0
50.0023651,-10959.2548828125,0.0,0.0241853,2,50.0,0.0
50.0027428,-11187.2998046875,0.0,0.0242025,2,50.0,0.0
50.0028915,-11427.544921875,0.0,0.0242166,2,50.0,0.0
50.0032005,-11643.93359375,0.0,0.0242318,2,50.0,0.0
50.0022163,-11872.0078125,0.0,0.0242424,2,50.0,0.0
50.0025902,-11992.05859375,0.0,0.0242554,2,50.0,0.0
50.0025139,-12280.5166015625,0.0,0.0242743,2,50.0,0.0
50.0032005,-12496.6708984375,0.0,0.0242901,2,50.0,0.0
50.0030403,-12760.98828125,0.0,0.0243079,2,50.0,0.0
50.0026665,-12989.232421875,0.0,0.024325,2,50.0,0.0
50.0025139,-13205.5888671875,0.0,0.0243371,2,50.0,0.0
50.0028152,-13494.171875,0.0,0.0243571,2,50.0,0.0
