Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
49.9984512,140000.453125,0.0,0.0312528,2,50.0,25.0
49.9982262,140000.453125,0.0,0.0312529,2,50.0,0.0
49.997467,140000.453125,0.0,0.0312529,2,50.0,0.0
49.9991341,140000.453125,0.0,0.031253,2,50.0,0.0
49.9988289,140000.453125,0.0,0.0312531,2,50.0,0.0
49.9989777,140000.453125,0.0,0.0312531,2,50.0,0.0
49.997921,140000.453125,0.0,0.0312531,2,50.0,0.0
49.9983025,140000.453125,0.0,0.0312531,2,50.0,0.0
49.9982262,140000.453125,0.0,0.0312532,2,50.0,0.0
49.9982262,140000.453125,0.0,0.0312534,2,50.0,0.0
49.9987526,140000.453125,0.0,0.0312536,2,50.0,0.0
49.9977989,140000.453125,0.0,0.0312535,2,50.0,0.0
49.9978752,140000.453125,0.0,0.0312537,2,50.0,0.0
49.9981728,140000.453125,0.0,0.0312537,2,50.0,0.0
49.9971924,140000.90625,0.0,0.0312539,2,50.0,0.0
49.9984818,140000.78125,0.0,0.0312538,2,50.0,0.0
49.9978752,140000.859375,0.0,0.0312541,2,50.0,0.0
49.9989319,140000.765625,0.0,0.0312541,2,50.0,0.0
49.9974976,140000.75,0.0,0.0312541,2,50.0,0.0
49.9984818,140000.765625,0.0,0.0312542,2,50.0,0.0
49.9984818,140000.8125,0.0,0.0312545,2,50.0,0.0
49.9981728,140000.78125,0.0,0.0312549,2,50.0,0.0
49.9981728,140000.703125,0.0,0.031255,2,50.0,0.0
49.998024,139979.59375,0.0,0.0312552,2,50.0,0.0
49.9977226,139809.15625,0.0,0.0312551,2,50.0,0.0
49.9974251,139590.765625,0.0,0.031254,2,50.0,0.0
49.9986343,139361.484375,0.0,0.0312527,2,50.0,0.0
50.0001411,139182.4375,0.0,0.0312501,2,50.0,0.0
49.9987068,138968.171875,0.0,0.0312471,2,50.0,0.0
49.9974251,138741.765625,0.0,0.0312425,2,50.0,0.0
49.9959831,138502.609375,0.0,0.0312361,2,50.0,0.0
49.9975739,138275.171875,0.0,0.0312314,2,50.0,0.0
49.9970398,137999.375,0.0,0.0312224,2,50.0,0.0
49.9965134,137748.046875,0.0,0.0312126,2,50.0,0.0
49.9968147,137520.671875,0.0,0.0312016,2,50.0,0.0
49.9963646,137173.234375,0.0,0.0311906,2,50.0,0.0
49.9978752,136933.6875,0.0,0.0311819,2,50.0,0.0
49.9949989,136706.015625,0.0,0.0311698,2,49.99,-0.009999999999998
49.9978752,136490.34375,0.0,0.0311632,2,50.0,0.009999999999998
49.9950371,136214.859375,0.0,0.0311512,2,50.0,0.0
49.9970016,135999.28125,0.0,0.0311438,2,50.0,0.0
49.9963188,135771.515625,0.0,0.0311334,2,50.0,0.0
49.9946594,135472.15625,0.0,0.0311207,2,49.99,-0.009999999999998
49.997303,135088.75,0.0,0.0311065,2,50.0,0.009999999999998
49.995636,134776.8125,0.0,0.0310955,2,50.0,0.0
49.995636,134537.109375,0.0,0.031087,2,50.0,0.0
49.9965439,134297.484375,0.0,0.031075,2,50.0,0.0
49.9941254,134069.65625,0.0,0.0310684,2,49.99,-0.009999999999998
49.99617,133866.4375,0.0,0.0310604,2,50.0,0.009999999999998
49.9954109,133746.53125,0.0,0.0310556,2,50.0,0.0
49.9957924,133483.140625,0.0,0.0310439,2,50.0,0.0
49.995945,133183.359375,0.0,0.0310321,2,50.0,0.0
49.995636,132991.59375,0.0,0.0310256,2,50.0,0.0
49.9966202,132764.03125,0.0,0.0310171,2,50.0,0.0
49.9954872,132512.640625,0.0,0.0310053,2,50.0,0.0
49.9944267,132285.046875,0.0,0.0309969,2,49.99,-0.009999999999998
49.9963951,132045.265625,0.0,0.0309869,2,50.0,0.009999999999998
49.9969292,131781.875,0.0,0.0309776,2,50.0,0.0
49.9960938,131518.3125,0.0,0.0309669,2,50.0,0.0
49.9963188,131314.625,0.0,0.0309598,2,50.0,0.0
49.9957199,131075.390625,0.0,0.0309486,2,50.0,0.0
49.9954109,130871.5625,0.0,0.0309421,2,50.0,0.0
49.9952621,130571.9453125,0.0,0.030931,2,50.0,0.0
49.9945793,130320.5390625,0.0,0.03092,2,49.99,-0.009999999999998
49.9955597,130080.84375,0.0,0.0309137,2,50.0,0.009999999999998
49.9969292,129877.1796875,0.0,0.0309041,2,50.0,0.0
49.9967041,129625.7265625,0.0,0.0308937,2,50.0,0.0
49.9957924,129386.171875,0.0,0.030885,2,50.0,0.0
49.9970627,129098.6328125,0.0,0.030873,2,50.0,0.0
49.9974403,128811.2109375,0.0,0.0308653,2,50.0,0.0
49.9966812,128715.375,0.0,0.0308597,2,50.0,0.0
49.9963799,128403.34375,0.0,0.0308483,2,50.0,0.0
49.9959297,128163.5,0.0,0.0308404,2,50.0,0.0
49.9969139,127912.3671875,0.0,0.0308285,2,50.0,0.0
49.9967537,127576.609375,0.0,0.0308143,2,50.0,0.0
49.9970627,127241.234375,0.0,0.0308038,2,50.0,0.0
49.9972115,126977.7421875,0.0,0.0307929,2,50.0,0.0
49.99683,126773.828125,0.0,0.0307869,2,50.0,0.0
49.9977379,126522.234375,0.0,0.0307751,2,50.0,0.0
49.9974403,126306.671875,0.0,0.0307688,2,50.0,0.0
49.997139,126019.2421875,0.0,0.0307559,2,50.0,0.0
49.9972115,125791.6875,0.0,0.0307481,2,50.0,0.0
49.99683,125540.28125,0.0,0.0307379,2,50.0,0.0
49.997139,125324.671875,0.0,0.0307319,2,50.0,0.0
49.9972878,125096.6953125,0.0,0.0307205,2,50.0,0.0
49.9972115,124880.8046875,0.0,0.0307135,2,50.0,0.0
49.9975891,124581.046875,0.0,0.0306998,2,50.0,0.0
49.9972878,124245.8828125,0.0,0.0306895,2,50.0,0.0
49.9967537,124006.5625,0.0,0.0306823,2,50.0,0.0
49.9962311,123778.7890625,0.0,0.0306724,2,50.0,0.0
49.9953957,123491.2109375,0.0,0.0306616,2,50.0,0.0
49.9966049,123251.4375,0.0,0.0306531,2,50.0,0.0
49.997139,123011.875,0.0,0.0306442,2,50.0,0.0
49.9964561,122760.4453125,0.0,0.0306343,2,50.0,0.0
49.9966812,122544.796875,0.0,0.0306246,2,50.0,0.0
49.997139,122317.2265625,0.0,0.0306156,2,50.0,0.0
49.9975891,122089.78125,0.0,0.0306075,2,50.0,0.0
49.9982033,121861.8828125,0.0,0.0305974,2,50.0,0.0
49.9979057,121609.671875,0.0,0.0305893,2,50.0,0.0
49.9979057,121382.3125,0.0,0.030583,2,50.0,0.0
49.9982033,121094.7421875,0.0,0.0305704,2,50.0,0.0
49.9970703,120927.0234375,0.0,0.0305654,2,50.0,0.0
49.9982033,120639.4140625,0.0,0.0305535,2,50.0,0.0
49.9984283,120376.171875,0.0,0.0305438,2,50.0,0.0
49.9971466,120136.4375,0.0,0.0305344,2,50.0,0.0
49.9979782,119800.7890625,0.0,0.030524,2,50.0,0.0
49.9975281,119573.234375,0.0,0.0305133,2,50.0,0.0
49.9982796,119345.75,0.0,0.0305073,2,50.0,0.0
49.9982796,119105.9921875,0.0,0.0304962,2,50.0,0.0
49.9981308,118890.515625,0.0,0.0304896,2,50.0,0.0
49.9982033,118590.984375,0.0,0.0304776,2,50.0,0.0
49.9979057,118375.296875,0.0,0.0304705,2,50.0,0.0
49.9980545,118123.828125,0.0,0.0304597,2,50.0,0.0
49.9977531,117920.1640625,0.0,0.0304539,2,50.0,0.0
49.9982796,117668.6484375,0.0,0.0304427,2,50.0,0.0
49.9982033,117393.0,0.0,0.0304343,2,50.0,0.0
49.9973717,117153.5390625,0.0,0.0304259,2,50.0,0.0
49.9983559,116913.59375,0.0,0.0304151,2,50.0,0.0
49.9974442,116686.015625,0.0,0.0304061,2,50.0,0.0
49.9988136,116470.46875,0.0,0.0303999,2,50.0,0.0
49.9979057,116218.84375,0.0,0.0303893,2,50.0,0.0
49.9976807,116003.2421875,0.0,0.0303804,2,50.0,0.0
49.9976044,115775.6328125,0.0,0.0303745,2,50.0,0.0
49.9987373,115643.96875,0.0,0.0303673,2,50.0,0.0
49.9982796,115344.484375,0.0,0.0303568,2,50.0,0.0
49.9976807,115140.4296875,0.0,0.0303507,2,50.0,0.0
49.9991875,114900.734375,0.0,0.0303423,2,50.0,0.0
49.9981308,114673.15625,0.0,0.0303334,2,50.0,0.0
49.9982033,114409.6953125,0.0,0.0303223,2,50.0,0.0
49.9977531,114205.96875,0.0,0.0303166,2,50.0,0.0
49.9982033,113906.375,0.0,0.0303042,2,50.0,0.0
49.9982872,113642.984375,0.0,0.0302932,2,50.0,0.0
49.9980545,113379.015625,0.0,0.0302866,2,50.0,0.0
49.9982872,113175.546875,0.0,0.0302773,2,50.0,0.0
49.9985886,112828.265625,0.0,0.0302643,2,50.0,0.0
49.999115,112600.6796875,0.0,0.030255,2,50.0,0.0
49.998436,112385.2578125,0.0,0.0302488,2,50.0,0.0
49.999115,112145.5,0.0,0.0302386,2,50.0,0.0
49.998661,111941.25,0.0,0.030233,2,50.0,0.0
49.9981308,111809.390625,0.0,0.0302281,2,50.0,0.0
49.998436,111509.6796875,0.0,0.0302149,2,50.0,0.0
49.9991875,111162.59375,0.0,0.0302025,2,50.0,0.0
49.998436,110935.078125,0.0,0.0301934,2,50.0,0.0
49.999115,110599.5390625,0.0,0.0301838,2,50.0,0.0
49.9982033,110383.859375,0.0,0.030176,2,50.0,0.0
49.9982872,110060.203125,0.0,0.0301633,2,50.0,0.0
49.9988861,109844.5,0.0,0.0301541,2,50.0,0.0
49.9992638,109628.8125,0.0,0.030148,2,50.0,0.0
49.9992638,109401.21875,0.0,0.03014,2,50.0,0.0
49.9990387,109174.046875,0.0,0.0301313,2,50.0,0.0
49.9979057,108886.53125,0.0,0.0301207,2,50.0,0.0
49.9995728,108658.375,0.0,0.030112,2,50.0,0.0
49.9983635,108406.71875,0.0,0.0301032,2,50.0,0.0
49.9989624,108142.9609375,0.0,0.0300927,2,50.0,0.0
49.9985886,107927.484375,0.0,0.0300841,2,50.0,0.0
49.9988136,107700.0234375,0.0,0.0300758,2,50.0,0.0
