Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
5.9939952,-140000.40625,0.0,0.0279123,2,5.99,1.9900000000000002
5.9945374,-140000.40625,0.0,0.0279122,2,5.99,0.0
5.9948883,-140000.40625,0.0,0.0279123,2,5.99,0.0
5.9945755,-140000.40625,0.0,0.0279123,2,5.99,0.0
5.9939642,-140000.40625,0.0,0.0279123,2,5.99,0.0
5.9942622,-140000.40625,0.0,0.0279122,2,5.99,0.0
5.9943914,-140000.40625,0.0,0.0279122,2,5.99,0.0
5.9942622,-140000.40625,0.0,0.0279121,2,5.99,0.0
5.994102,-140000.40625,0.0,0.0279122,2,5.99,0.0
5.9941702,-140000.40625,0.0,0.027912,2,5.99,0.0
5.9938498,-140000.40625,0.0,0.0279119,2,5.99,0.0
5.9940557,-140000.40625,0.0,0.0279121,2,5.99,0.0
5.9950409,-140000.40625,0.0,0.0279121,2,6.0,0.009999999999999787
5.9943004,-140000.40625,0.0,0.0279121,2,5.99,-0.009999999999999787
5.9938426,-140000.40625,0.0,0.0279121,2,5.99,0.0
5.9935603,-140000.40625,0.0,0.0279122,2,5.99,0.0
5.9938192,-140001.15625,0.0,0.0279122,2,5.99,0.0
5.9944148,-140001.25,0.0,0.0279122,2,5.99,0.0
5.9945445,-140001.046875,0.0,0.0279122,2,5.99,0.0
5.9956212,-140001.140625,0.0,0.0279122,2,6.0,0.009999999999999787
5.9946284,-140001.15625,0.0,0.0279122,2,5.99,-0.009999999999999787
5.9944606,-140001.1875,0.0,0.0279121,2,5.99,0.0
5.9950333,-140002.140625,0.0,0.027912,2,6.0,0.009999999999999787
5.9946976,-140001.078125,0.0,0.027912,2,5.99,-0.009999999999999787
5.9952202,-140001.203125,0.0,0.0279121,2,6.0,0.009999999999999787
5.9944487,-140001.1875,0.0,0.0279121,2,5.99,-0.009999999999999787
5.9959764,-139886.359375,0.0,0.0279121,2,6.0,0.009999999999999787
5.9961209,-139710.8125,0.0,0.0279123,2,6.0,0.0
5.9969087,-139396.640625,0.0,0.0279131,2,6.0,0.0
5.9956937,-139063.0,0.0,0.0279145,2,6.0,0.0
5.9962134,-138872.703125,0.0,0.0279154,2,6.0,0.0
5.9967098,-138598.671875,0.0,0.0279171,2,6.0,0.0
5.997076,-138395.21875,0.0,0.0279183,2,6.0,0.0
5.9970689,-138131.828125,0.0,0.0279204,2,6.0,0.0
5.9968777,-137904.5,0.0,0.0279224,2,6.0,0.0
5.9975576,-137617.34375,0.0,0.0279249,2,6.0,0.0
5.9971986,-137389.75,0.0,0.0279281,2,6.0,0.0
5.9982233,-137162.421875,0.0,0.0279305,2,6.0,0.0
5.996572,-136923.046875,0.0,0.0279328,2,6.0,0.0
5.9976115,-136683.296875,0.0,0.0279349,2,6.0,0.0
5.9980245,-136467.78125,0.0,0.0279371,2,6.0,0.0
5.9980164,-136240.15625,0.0,0.0279387,2,6.0,0.0
5.9985437,-136012.90625,0.0,0.0279405,2,6.0,0.0
5.9979782,-135881.109375,0.0,0.0279415,2,6.0,0.0
5.9979482,-135689.59375,0.0,0.0279431,2,6.0,0.0
5.9989028,-135497.78125,0.0,0.0279442,2,6.0,0.0
5.9981389,-135246.53125,0.0,0.0279458,2,6.0,0.0
5.9999204,-135030.625,0.0,0.0279462,2,6.0,0.0
5.9980626,-134778.796875,0.0,0.0279473,2,6.0,0.0
5.9987502,-134587.25,0.0,0.0279476,2,6.0,0.0
5.998467,-134287.84375,0.0,0.0279477,2,6.0,0.0
5.9994769,-134036.421875,0.0,0.0279475,2,6.0,0.0
5.9995689,-133832.90625,0.0,0.0279471,2,6.0,0.0
5.9998364,-133581.734375,0.0,0.0279462,2,6.0,0.0
5.9994388,-133377.859375,0.0,0.0279454,2,6.0,0.0
6.0000343,-133102.09375,0.0,0.027944,2,6.0,0.0
5.999927,-132803.03125,0.0,0.0279414,2,6.0,0.0
5.999537,-132467.734375,0.0,0.0279384,2,6.0,0.0
6.0003481,-132264.265625,0.0,0.0279364,2,6.0,0.0
6.0001717,-132001.03125,0.0,0.0279331,2,6.0,0.0
6.0004783,-131785.46875,0.0,0.0279309,2,6.0,0.0
6.0002718,-131569.796875,0.0,0.0279275,2,6.0,0.0
6.0008683,-131318.265625,0.0,0.0279239,2,6.0,0.0
6.0004559,-131090.875,0.0,0.027919,2,6.0,0.0
6.001205,-130767.8046875,0.0,0.0279134,2,6.0,0.0
6.0008912,-130444.3515625,0.0,0.0279071,2,6.0,0.0
6.0008607,-130240.8203125,0.0,0.0279031,2,6.0,0.0
6.0017791,-129977.0,0.0,0.0278978,2,6.0,0.0
