Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo,rounded temp,diff
4.0064297,-0.179859027266502,0.0,0.0234138,2,4.01,0.0
4.0065494,-0.179859027266502,0.0,0.0234134,2,4.01,0.0
4.003377,-0.179859027266502,0.0,0.0234138,2,4.0,-0.009999999999999787
8.0011883,-0.179859027266502,0.0,0.023441,2,8.0,0.019999999999999574
7.8650131,-0.179859027266502,0.0,0.0234409,2,7.87,-0.1299999999999999
7.7010045,-0.179859027266502,0.0,0.0234405,2,7.7,-0.16999999999999993
7.5381942,-0.179859027266502,0.0,0.0234399,2,7.54,-0.16000000000000014
7.355701,-0.179859027266502,0.0,0.0234391,2,7.36,-0.17999999999999972
7.1049151,-0.179859027266502,0.0,0.0234379,2,7.1,-0.2600000000000007
6.84584,-0.179859027266502,0.0,0.0234366,2,6.85,-0.25
6.5340095,-0.179859027266502,0.0,0.0234347,2,6.53,-0.3199999999999994
6.2264581,-0.179859027266502,0.0,0.023433,2,6.23,-0.2999999999999998
5.8688765,-0.179859027266502,0.0,0.023431,2,5.87,-0.3600000000000003
5.5415626,-0.179859027266502,0.0,0.0234287,2,5.54,-0.33000000000000007
5.1898518,-0.179859027266502,0.0,0.0234268,2,5.19,-0.34999999999999964
4.8632731,-0.179859027266502,0.0,0.0234247,2,4.86,-0.33000000000000007
4.52706,-0.179859027266502,0.0,0.0234227,2,4.53,-0.33000000000000007
4.1849785,-0.179859027266502,0.0,0.023421,2,4.18,-0.35000000000000053
3.8519907,-0.179859027266502,0.0,0.0234193,2,3.85,-0.3299999999999996
3.5188673,-0.179859027266502,0.0,0.0234177,2,3.52,-0.33000000000000007
3.1808324,-0.179859027266502,0.0,0.0234162,2,3.18,-0.33999999999999986
2.8506424,-0.179859027266502,0.0,0.0234151,2,2.85,-0.33000000000000007
2.5520425,-0.179859027266502,0.0,0.023414,2,2.55,-0.30000000000000027
2.3180611,-0.179859027266502,0.0,0.0234133,2,2.32,-0.22999999999999998
2.1186543,-0.179859027266502,0.0,0.0234128,2,2.12,-0.19999999999999973
2.0192769,-0.179859027266502,0.0,0.0234124,2,2.02,-0.10000000000000009
1.8354512,-0.179859027266502,0.0,0.0233992,2,1.84,-0.17999999999999994
1.8678749,-0.179859027266502,0.0,0.0233992,2,1.87,0.030000000000000027
1.9102043,-0.179859027266502,0.0,0.0233991,2,1.91,0.039999999999999813
1.9524633,-0.179859027266502,0.0,0.023399,2,1.95,0.040000000000000036
2.0015738,-0.179859027266502,0.0,0.0233989,2,2.0,0.050000000000000044
2.0557675,-0.179859027266502,0.0,0.0233987,2,2.06,0.06000000000000005
2.1248012,-0.179859027266502,0.0,0.0233985,2,2.12,0.06000000000000005
2.1898916,-0.179859027266502,0.0,0.0233986,2,2.19,0.06999999999999984
2.2597358,-0.179859027266502,0.0,0.023412,2,2.26,0.06999999999999984
2.3459194,-0.179859027266502,0.0,0.0234126,2,2.35,0.0900000000000003
2.4321368,-0.179859027266502,0.0,0.0234128,2,2.43,0.08000000000000007
2.4818656,-0.179859027266502,0.0,0.0234128,2,2.48,0.04999999999999982
2.5540242,-0.179859027266502,0.0,0.0234129,2,2.55,0.06999999999999984
2.6280537,-0.179859027266502,0.0,0.023413,2,2.63,0.08000000000000007
2.7102087,-0.179859027266502,0.0,0.0234131,2,2.71,0.08000000000000007
2.7786074,-0.179859027266502,0.0,0.0234132,2,2.78,0.06999999999999984
2.848213,-0.179859027266502,0.0,0.0234132,2,2.85,0.07000000000000028
2.8984125,-0.179859027266502,0.0,0.0234133,2,2.9,0.04999999999999982
2.9715009,-0.179859027266502,0.0,0.0234135,2,2.97,0.07000000000000028
3.0380938,-0.179859027266502,0.0,0.0234136,2,3.04,0.06999999999999984
3.1278415,-0.179859027266502,0.0,0.0234139,2,3.13,0.08999999999999986
3.2098482,-0.179859027266502,0.0,0.023414,2,3.21,0.08000000000000007
3.2851682,-0.179859027266502,0.0,0.0234141,2,3.29,0.08000000000000007
3.3712053,-0.179859027266502,0.0,0.0234143,2,3.37,0.08000000000000007
3.4621246,-0.179859027266502,0.0,0.0234145,2,3.46,0.08999999999999986
3.5382421,-0.179859027266502,0.0,0.0234146,2,3.54,0.08000000000000007
3.6101899,-0.179859027266502,0.0,0.0234149,2,3.61,0.06999999999999984
3.6887879,-0.179859027266502,0.0,0.0234149,2,3.69,0.08000000000000007
3.7751017,-0.179859027266502,0.0,0.0234151,2,3.78,0.08999999999999986
3.866945,-0.179859027266502,0.0,0.0234155,2,3.87,0.0900000000000003
3.9321659,-0.179859027266502,0.0,0.0234158,2,3.93,0.06000000000000005
4.0069137,-0.179859027266502,0.0,0.023416,2,4.01,0.07999999999999963
4.0787339,-0.179859027266502,0.0,0.0234162,2,4.08,0.07000000000000028
4.1434913,-0.179859027266502,0.0,0.0234165,2,4.14,0.05999999999999961
4.2119188,-0.179859027266502,0.0,0.0234168,2,4.21,0.07000000000000028
4.3030577,-0.179859027266502,0.0,0.0234172,2,4.3,0.08999999999999986
4.4029565,-0.179859027266502,0.0,0.0234177,2,4.4,0.10000000000000053
4.4636292,-0.179859027266502,0.0,0.023418,2,4.46,0.05999999999999961
4.5301685,-0.179859027266502,0.0,0.0234182,2,4.53,0.07000000000000028
4.6184134,-0.179859027266502,0.0,0.0234185,2,4.62,0.08999999999999986
4.7087855,-0.179859027266502,0.0,0.0234191,2,4.71,0.08999999999999986
4.8056192,-0.179859027266502,0.0,0.0234198,2,4.81,0.09999999999999964
