Map23 (K),Field (Oe),Position (Deg),R2 #3 YPt0.41Pd0.59Bi (Ohm),ChNo
212.0858307,-0.269788533449173,90.0144,0.024439,2
211.713913,-0.269788533449173,90.0144,0.024447,2
211.3383636,-0.269788533449173,90.0144,0.024456,2
211.0403137,-0.269788533449173,90.0144,0.024463,2
210.64151,-0.269788533449173,90.0144,0.024473,2
210.1741638,-0.269788533449173,90.0144,0.024483,2
209.8162689,-0.269788533449173,90.0144,0.024492,2
209.4225311,-0.269788533449173,90.0144,0.0245,2
209.10849,-0.269788533449173,90.0144,0.024507,2
208.7453156,-0.269788533449173,90.0144,0.024516,2
208.3502808,-0.269788533449173,90.0144,0.024525,2
208.0312042,-0.269788533449173,90.0144,0.024531,2
207.7433777,-0.269788533449173,90.0144,0.024538,2
207.3550415,-0.269788533449173,90.0144,0.024547,2
206.9010315,-0.269788533449173,90.0144,0.024557,2
206.6142426,-0.269788533449173,90.0144,0.024563,2
206.2416687,-0.269788533449173,90.0144,0.02457,2
205.8450165,-0.269788533449173,90.0144,0.024579,2
205.4862061,-0.269788533449173,90.0144,0.024587,2
204.967865,-0.269788533449173,90.0144,0.024598,2
204.5793304,-0.269788533449173,90.0144,0.024605,2
204.2090912,-0.269788533449173,90.0144,0.024612,2
203.9736938,-0.269788533449173,90.0144,0.024618,2
203.5749054,-0.269788533449173,90.0144,0.024626,2
203.1929474,-0.269788533449173,90.0144,0.024633,2
202.7625732,-0.269788533449173,90.0144,0.024642,2
202.32724,-0.269788533449173,90.0144,0.02465,2
201.9553833,-0.269788533449173,90.0144,0.024657,2
201.5722046,-0.269788533449173,90.0144,0.024665,2
201.2694855,-0.269788533449173,90.0144,0.024671,2
200.9085236,-0.269788533449173,90.0144,0.024678,2
200.6196136,-0.269788533449173,90.0144,0.024683,2
200.3022461,-0.269788533449173,90.0144,0.024689,2
199.9426117,-0.269788533449173,90.0144,0.024696,2
199.6582336,-0.269788533449173,90.0144,0.0247,2
199.2706299,-0.269788533449173,90.0144,0.024708,2
198.8335876,-0.269788533449173,90.0144,0.024716,2
198.4770508,-0.269788533449173,90.0144,0.024722,2
198.0311432,-0.269788533449173,90.0144,0.024729,2
197.6528015,-0.269788533449173,90.0144,0.024736,2
197.2144165,-0.269788533449173,90.0144,0.024744,2
196.8375092,-0.269788533449173,90.0144,0.024751,2
196.4274902,-0.269788533449173,90.0144,0.024757,2
196.0546265,-0.269788533449173,90.0144,0.024763,2
195.7427521,-0.269788533449173,90.0144,0.02477,2
195.298645,-0.269788533449173,90.0144,0.024776,2
194.9131165,-0.269788533449173,90.0144,0.024782,2
194.5662231,-0.269788533449173,90.0144,0.024788,2
194.2707825,-0.269788533449173,90.0144,0.024793,2
193.9007568,-0.269788533449173,90.0144,0.024799,2
193.4748535,-0.269788533449173,90.0144,0.024805,2
193.1805267,-0.269788533449173,90.0144,0.024809,2
192.882431,-0.269788533449173,90.0144,0.024814,2
192.5466766,-0.269788533449173,90.0144,0.02482,2
192.2354736,-0.269788533449173,90.0144,0.024824,2
191.8597412,-0.269788533449173,90.0144,0.024829,2
191.4501038,-0.269788533449173,90.0144,0.024836,2
191.0791168,-0.269788533449173,90.0144,0.024841,2
190.6428223,-0.269788533449173,90.0144,0.024847,2
190.2067719,-0.269788533449173,90.0144,0.024853,2
189.8539886,-0.269788533449173,90.0144,0.024859,2
189.4137878,-0.269788533449173,90.0144,0.024864,2
189.116333,-0.269788533449173,90.0144,0.024868,2
188.7797699,-0.269788533449173,90.0144,0.024874,2
188.405426,-0.269788533449173,90.0144,0.024878,2
188.0589447,-0.269788533449173,90.0144,0.024884,2
187.5883026,-0.269788533449173,90.0144,0.024891,2
187.2990417,-0.269788533449173,90.0144,0.024895,2
186.95047,-0.269788533449173,90.0144,0.0249,2
186.6063843,-0.269788533449173,90.0144,0.024905,2
186.1740723,-0.269788533449173,90.0144,0.02491,2
185.8673096,-0.269788533449173,90.0144,0.024915,2
185.5299225,-0.269788533449173,90.0144,0.024919,2
185.1117249,-0.269788533449173,90.0144,0.024923,2
